# k, delta_cdm, delta_b, delta_g, delta_nu, delta_num, delta_tot, delta_nonu, delta_tot_nodm, phi, v_cdm, v_b, v_b_cdm
7.01724698e-11 6.30511319e+02 6.30511319e+02 8.40681759e+02 8.40681759e+02 0.00000000e+00 6.30573882e+02 -2.10107877e+02 6.30573882e+02 1.47990621e-05 2.86001353e+02 2.86001353e+02 0.00000000e+00
8.66871096e-06 6.30513644e+02 6.30513622e+02 8.40012191e+02 8.39997667e+02 0.00000000e+00 6.30576001e+02 -2.09421666e+02 6.30576001e+02 1.47991050e-05 2.86002408e+02 2.86002397e+02 1.00971589e-05
1.73489853e-05 6.30509814e+02 6.30509725e+02 8.37988483e+02 8.37930416e+02 0.00000000e+00 6.30571554e+02 -2.07358862e+02 6.30571554e+02 1.47989809e-05 2.86000670e+02 2.86000630e+02 4.04247208e-05
2.60641637e-05 6.30503139e+02 6.30502938e+02 8.34607840e+02 8.34477189e+02 0.00000000e+00 6.30563848e+02 -2.03913341e+02 6.30563848e+02 1.47987672e-05 2.85997643e+02 2.85997551e+02 9.11716465e-05
3.48377350e-05 6.30493731e+02 6.30493372e+02 8.29854924e+02 8.29622541e+02 0.00000000e+00 6.30552990e+02 -1.99069550e+02 6.30552990e+02 1.47984661e-05 2.85993375e+02 2.85993212e+02 1.62710921e-04
4.36936151e-05 6.30481492e+02 6.30480928e+02 8.23705949e+02 8.23342507e+02 0.00000000e+00 6.30538876e+02 -1.92803631e+02 6.30538876e+02 1.47980748e-05 2.85987823e+02 2.85987568e+02 2.55595311e-04
5.26563607e-05 6.30466315e+02 6.30465498e+02 8.16129096e+02 8.15605025e+02 0.00000000e+00 6.30521389e+02 -1.85083636e+02 6.30521389e+02 1.47975904e-05 2.85980939e+02 2.85980568e+02 3.70575306e-04
6.17513899e-05 6.30448054e+02 6.30446932e+02 8.07084639e+02 8.06370092e+02 0.00000000e+00 6.30500370e+02 -1.75869723e+02 6.30500370e+02 1.47970085e-05 2.85972656e+02 2.85972147e+02 5.08601149e-04
7.10052136e-05 6.30426525e+02 6.30425046e+02 7.96525212e+02 7.95590058e+02 0.00000000e+00 6.30475621e+02 -1.65114437e+02 6.30475621e+02 1.47963240e-05 2.85962890e+02 2.85962220e+02 6.70827717e-04
8.04456795e-05 6.30401514e+02 6.30399621e+02 7.84396196e+02 7.83210039e+02 0.00000000e+00 6.30446911e+02 -1.52763128e+02 6.30446911e+02 1.47955308e-05 2.85951545e+02 2.85950687e+02 8.58641293e-04
9.01022328e-05 6.30372762e+02 6.30370395e+02 7.70636246e+02 7.69168506e+02 0.00000000e+00 6.30413962e+02 -1.38754543e+02 6.30413962e+02 1.47946216e-05 2.85938503e+02 2.85937430e+02 1.07366796e-03
